number,value,datetime_start,datetime_complete,duration,params_dropout,params_embedding_dim,params_learning_rate,params_lstm_units,params_rnn_units,user_attrs_val_mae,state
0,10.503546714782715,2025-11-19 23:56:44.778844,2025-11-19 23:57:31.645472,0 days 00:00:46.866628,0.45985284373248053,128,0.0015930522616241021,16,83,10.503546714782715,COMPLETE
1,9.285064697265625,2025-11-19 23:57:31.645895,2025-11-19 23:58:42.213603,0 days 00:01:10.567708,0.29127267288786135,256,0.0011207606211860576,16,110,9.285064697265625,COMPLETE
2,18.780820846557617,2025-11-19 23:58:42.214067,2025-11-19 23:58:50.854968,0 days 00:00:08.640901,0.43555278841790407,256,0.00025081156860452336,64,31,18.780820846557617,COMPLETE
3,9.255476951599121,2025-11-19 23:58:50.855430,2025-11-19 23:59:30.450698,0 days 00:00:39.595268,0.4896896099223678,128,0.004138040112561018,64,84,9.255476951599121,COMPLETE
4,18.78420066833496,2025-11-19 23:59:30.451107,2025-11-19 23:59:42.238641,0 days 00:00:11.787534,0.47279612062363463,256,0.00032927591344236165,32,65,18.78420066833496,COMPLETE
5,10.021919250488281,2025-11-19 23:59:42.239023,2025-11-20 00:00:16.766121,0 days 00:00:34.527098,0.48184968246925675,64,0.006161049539380964,32,77,10.021919250488281,COMPLETE
6,9.247976303100586,2025-11-20 00:00:16.766514,2025-11-20 00:00:45.272981,0 days 00:00:28.506467,0.2814047095321688,128,0.004544383960336018,64,38,9.247976303100586,COMPLETE
7,18.781723022460938,2025-11-20 00:00:45.273371,2025-11-20 00:00:53.832923,0 days 00:00:08.559552,0.4316734307889972,256,0.00024970737145052745,64,31,18.781723022460938,COMPLETE
8,18.08812141418457,2025-11-20 00:00:53.833381,2025-11-20 00:01:09.660160,0 days 00:00:15.826779,0.23476071785753894,128,0.005323617594751502,16,98,18.08812141418457,COMPLETE
9,18.829458236694336,2025-11-20 00:01:09.660606,2025-11-20 00:01:16.521965,0 days 00:00:06.861359,0.466163822772898,64,0.0008798929749689023,32,51,18.829458236694336,COMPLETE
10,9.192646026611328,2025-11-20 00:01:16.522311,2025-11-20 00:02:02.351813,0 days 00:00:45.829502,0.34735313350071645,128,0.0024761130678675526,64,16,9.192646026611328,COMPLETE
