,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_weight_decay,system_attrs_grid_id,system_attrs_search_space,state
0,0,21.262956153560314,2025-11-22 02:30:19.429633,2025-11-22 02:32:14.256803,0 days 00:01:54.827170,0.001,bert-base-cased,0.01,0,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
1,1,21.779721847224863,2025-11-22 02:32:14.257265,2025-11-22 02:33:16.898331,0 days 00:01:02.641066,0.001,distilbert-base-cased,0.005,1,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
2,2,14.75683951537672,2025-11-22 02:33:16.898707,2025-11-22 02:35:10.176231,0 days 00:01:53.277524,5e-05,roberta-base,0.01,2,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
3,3,11.264381541255744,2025-11-22 02:35:10.176587,2025-11-22 02:36:10.075148,0 days 00:00:59.898561,0.0001,distilbert-base-uncased,0.01,3,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
4,4,15.813275188285742,2025-11-22 02:36:10.075508,2025-11-22 02:37:58.971967,0 days 00:01:48.896459,1e-05,roberta-base,0.0,4,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
5,5,13.045314036268625,2025-11-22 02:37:58.972351,2025-11-22 02:39:53.452376,0 days 00:01:54.480025,0.0001,bert-base-cased,0.0,5,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
6,6,7.5035686548985545,2025-11-22 02:39:53.452758,2025-11-22 02:48:19.210912,0 days 00:08:25.758154,5e-05,bert-base-cased,0.0,6,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
7,7,8.130305436389637,2025-11-22 02:48:19.211296,2025-11-22 02:51:00.868870,0 days 00:02:41.657574,0.0001,distilbert-base-cased,0.005,7,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
8,8,17.03199336348835,2025-11-22 02:51:00.869227,2025-11-22 02:53:24.870595,0 days 00:02:24.001368,5e-06,bert-base-uncased,0.0,8,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
9,9,14.55501834096969,2025-11-22 02:53:24.870948,2025-11-22 02:55:48.371628,0 days 00:02:23.500680,5e-06,distilbert-base-cased,0.01,9,"{'learning_rate': [0.001, 0.0005, 0.0001, 5e-05, 1e-05, 5e-06], 'model_name': ['bert-base-cased', 'bert-base-uncased', 'roberta-base', 'distilbert-base-uncased', 'distilbert-base-cased'], 'weight_decay': [0, 0.005, 0.01]}",COMPLETE
